kabupaten;kambing;sapi;ayam
Kabupaten Pacitan;360782;98153;1610925
Kabupaten Ponorogo;256082;86259;1049857
Kabupaten Trenggalek;447649;40034;1524877
Kabupaten Tulungagung;214754;152539;2361079
Kabupaten Blitar;160291;155944;2907230
Kabupaten Kediri;149137;240852;1276914
Kabupaten Malang;299773;252930;2553233
Kabupaten Lumajang;145918;232944;1911444
Kabupaten Jember;63444;280067;2190706
Kabupaten Banyuwangi;124929;138544;1366565
Kabupaten Bondowoso;57235;262003;696715
Kabupaten Situbondo;31720;183902;308542
Kabupaten Probolinggo;53675;331294;646335
Kabupaten Pasuruan;70676;120328;1398915
Kabupaten Sidoarjo;43426;15150;403690
Kabupaten Mojokerto;39901;51131;683460
Kabupaten Jombang;120758;75215;883120
Kabupaten Nganjuk;129201;144911;1323279
Kabupaten Madiun;90139;67127;1901073
Kabupaten Magetan;45511;120014;607881
Kabupaten Ngawi;95436;86531;632044
Kabupaten Bojonegoro;162091;269803;1649949
Kabupaten Tuban;141202;360473;1608070
Kabupaten Lamongan;91812;120843;1343658
Kabupaten Gresik;80986;61220;774848
Kabupaten Bangkalan;89131;287921;1650046
Kabupaten Sampang;58881;219107;586087
Kabupaten Pamekasan;88787;200933;177320
Kabupaten Sumenep;157224;388090;797814
Kota Kediri;4967;4214;141482
Kota Blitar;3073;4044;83364
Kota Malang;1640;2767;49201
Kota Probolinggo;3057;11429;88092
Kota Pasuruan;3309;466;52633
Kota Mojokerto;1058;104;13574
Kota Madiun;2767;205;57111
Kota Surabaya;971;158;8259
Kota Batu;5792;2591;34009
